id,segment_id,city,state,latitude,longitude,road_type,pothole_count,crack_type,crack_count,weather,traffic_level,speed_limit_kmph,avg_vehicle_speed_kmph,rainfall_mm,visibility,surface_age_months,accident_history_count,accident_risk,immediate_action,maintenance_priority,authority_responsible,response_time_hours,repair_status,date_reported
1187,SEG-2046,Surat,Gujarat,14.24026,88.53396,Village Road,16,Transverse Crack,2,Rainy,Moderate,47,33,197.14,Poor,27,3,Medium,Fill Pothole,Medium,Municipality,12,Temporary Repair,2025-02-07
1188,SEG-5592,Chennai,Tamil Nadu,9.15031,74.73596,Village Road,22,Edge Crack,6,Hot,Moderate,56,76,48.78,Poor,41,0,Medium,Fill Pothole,Medium,Municipality,61,Repaired,2025-02-26
1189,SEG-8711,Noida,Uttar Pradesh,18.74467,88.92262,Village Road,0,Longitudinal Crack,22,Dry,Low,42,27,167.61,Clear,31,1,Medium,Fill Pothole,Medium,Municipality,7,Repaired,2025-11-23
1190,SEG-6804,Thiruvananthapuram,Kerala,12.07569,82.42939,City Road,20,Edge Crack,20,Rainy,Low,80,71,139.18,Foggy,59,8,High,Resurface Road,High,Panchayat,1,Temporary Repair,2025-04-01
1191,SEG-8634,Pune,Maharashtra,23.13838,87.95113,Village Road,15,Edge Crack,20,Humid,Heavy,49,82,107.14,Foggy,25,9,High,Resurface Road,High,Panchayat,63,Repaired,2025-12-28
1192,SEG-7778,Bhopal,Madhya Pradesh,21.96617,87.71532,City Road,0,Edge Crack,11,Rainy,Heavy,88,50,99.52,Poor,2,11,Medium,Fill Pothole,Medium,Panchayat,67,Temporary Repair,2025-09-25
1193,SEG-4461,Delhi,Delhi,24.8825,76.53612,Village Road,2,Alligator Crack,13,Rainy,Heavy,87,33,152.15,Clear,46,1,Medium,Fill Pothole,Medium,Municipality,62,Not Repaired,2025-08-10
1194,SEG-2503,Chennai,Tamil Nadu,22.69803,74.08958,Highway,25,Edge Crack,22,Rainy,Moderate,86,49,44.95,Poor,21,10,Critical,Immediate Barricade,Urgent,Panchayat,7,Repaired,2025-01-16
1195,SEG-1936,Kochi,Kerala,23.25193,74.16324,Highway,20,Longitudinal Crack,9,Hot,Moderate,52,78,110.64,Foggy,5,12,High,Resurface Road,High,Municipality,2,Temporary Repair,2025-08-19
1196,SEG-9955,Chennai,Tamil Nadu,13.43906,92.38441,Village Road,6,Edge Crack,30,Dry,Low,45,58,186.25,Poor,60,12,High,Resurface Road,High,Municipality,3,Repaired,2025-03-28
1197,SEG-8234,Mumbai,Maharashtra,25.48197,71.05782,Highway,24,Transverse Crack,20,Humid,Heavy,69,71,110.34,Poor,49,15,Critical,Immediate Barricade,Urgent,Highways Dept,16,Not Repaired,2025-05-15
1198,SEG-1277,Kochi,Kerala,19.8825,90.53386,Highway,12,Alligator Crack,28,Rainy,Heavy,38,46,193.84,Poor,43,13,Critical,Immediate Barricade,Urgent,Panchayat,64,Repaired,2025-01-14
1199,SEG-3487,Nagpur,Maharashtra,14.55142,72.45883,Highway,13,Longitudinal Crack,33,Hot,Low,52,40,147.36,Poor,1,8,Critical,Immediate Barricade,Urgent,Highways Dept,1,Temporary Repair,2025-09-12
1200,SEG-4430,Mysuru,Karnataka,20.80896,95.80297,Highway,11,Edge Crack,33,Dry,Heavy,50,58,149.29,Clear,22,11,Critical,Immediate Barricade,Urgent,Municipality,37,Temporary Repair,2025-07-10
1201,SEG-3233,Hyderabad,Telangana,13.35181,89.39387,City Road,16,Longitudinal Crack,17,Rainy,Heavy,68,78,123.81,Clear,15,7,High,Resurface Road,High,Municipality,60,Temporary Repair,2025-04-11
1202,SEG-6403,Noida,Uttar Pradesh,12.78421,72.47846,City Road,25,Edge Crack,26,Humid,Moderate,87,39,105.16,Poor,51,8,Critical,Immediate Barricade,Urgent,Highways Dept,69,Temporary Repair,2025-12-10
1203,SEG-9907,Noida,Uttar Pradesh,17.67503,78.63021,City Road,20,Alligator Crack,36,Dry,Moderate,81,72,92.02,Foggy,26,0,Critical,Immediate Barricade,Urgent,Panchayat,34,Repaired,2025-06-12
1204,SEG-1171,Udaipur,Rajasthan,14.94625,70.8616,Village Road,5,Edge Crack,0,Hot,Heavy,62,30,199.41,Clear,58,12,Medium,Fill Pothole,Medium,Municipality,54,Repaired,2025-07-16
1205,SEG-9784,Ahmedabad,Gujarat,18.4996,91.22169,City Road,0,Edge Crack,37,Hot,Heavy,65,89,140.67,Poor,58,7,High,Resurface Road,High,Panchayat,27,Repaired,2025-02-26
1206,SEG-8565,Bhopal,Madhya Pradesh,22.76366,92.44856,City Road,3,Transverse Crack,40,Hot,Low,86,83,34.09,Poor,40,3,High,Resurface Road,High,Municipality,56,Not Repaired,2025-11-03
1207,SEG-3102,Udaipur,Rajasthan,11.51985,78.23787,Highway,16,Edge Crack,0,Rainy,Heavy,57,27,167.84,Poor,30,1,Medium,Fill Pothole,Medium,Municipality,41,Repaired,2025-08-26
1208,SEG-1106,Kochi,Kerala,26.91219,76.43538,Highway,14,Edge Crack,36,Hot,Low,91,56,0.31,Poor,48,10,Critical,Immediate Barricade,Urgent,Highways Dept,68,Temporary Repair,2025-12-11
1209,SEG-4762,Delhi,Delhi,15.0404,94.6022,City Road,12,Longitudinal Crack,19,Hot,Heavy,38,60,121.72,Foggy,5,5,High,Resurface Road,High,Municipality,39,Not Repaired,2025-06-01
1210,SEG-3642,Udaipur,Rajasthan,20.10362,88.97109,Village Road,5,Transverse Crack,20,Hot,Low,30,26,5.97,Clear,36,13,High,Resurface Road,High,Highways Dept,13,Temporary Repair,2025-11-04
1211,SEG-7027,Madurai,Tamil Nadu,25.77074,77.53827,City Road,20,Transverse Crack,7,Humid,Heavy,95,34,46.23,Foggy,43,0,Medium,Fill Pothole,Medium,Highways Dept,48,Temporary Repair,2025-05-03
1212,SEG-5482,Nagpur,Maharashtra,11.62339,90.43197,City Road,5,Transverse Crack,10,Dry,Heavy,55,73,150.53,Clear,47,4,Medium,Fill Pothole,Medium,Municipality,8,Temporary Repair,2025-07-14
1213,SEG-7189,Surat,Gujarat,27.31204,95.50455,City Road,20,Edge Crack,31,Humid,Low,96,88,15.28,Poor,21,13,Critical,Immediate Barricade,Urgent,Highways Dept,35,Not Repaired,2025-08-18
1214,SEG-4217,Jaipur,Rajasthan,16.49137,88.73924,Highway,24,Longitudinal Crack,32,Rainy,Low,76,57,14.26,Foggy,38,8,Critical,Immediate Barricade,Urgent,Municipality,43,Not Repaired,2025-10-21
1215,SEG-4080,Madurai,Tamil Nadu,23.11526,71.48643,City Road,16,Transverse Crack,38,Humid,Moderate,63,45,165.78,Foggy,32,11,Critical,Immediate Barricade,Urgent,Municipality,58,Not Repaired,2025-10-27
1216,SEG-8194,Udaipur,Rajasthan,23.38099,77.35647,Village Road,19,Transverse Crack,5,Hot,Heavy,47,84,128.98,Foggy,37,11,High,Resurface Road,High,Highways Dept,10,Temporary Repair,2025-08-14
1217,SEG-6229,Jaipur,Rajasthan,15.9402,73.80503,City Road,24,Edge Crack,17,Dry,Low,75,37,80.3,Clear,31,7,High,Resurface Road,High,Panchayat,65,Temporary Repair,2025-02-09
1218,SEG-3342,Pune,Maharashtra,17.68787,75.80331,Highway,5,Edge Crack,23,Humid,Moderate,35,66,97.9,Foggy,17,15,High,Resurface Road,High,Municipality,61,Repaired,2025-08-06
1219,SEG-7637,Nagpur,Maharashtra,23.77853,83.9913,Highway,6,Longitudinal Crack,0,Rainy,Moderate,76,36,21.04,Poor,27,8,Low,Seal Cracks,Low,Panchayat,55,Temporary Repair,2025-05-10
1220,SEG-3502,Surat,Gujarat,26.93869,79.15853,Highway,15,Transverse Crack,14,Rainy,Moderate,33,26,162.11,Poor,32,5,High,Resurface Road,High,Highways Dept,24,Temporary Repair,2025-09-23
1221,SEG-6554,Ahmedabad,Gujarat,23.00968,96.33466,Village Road,8,Alligator Crack,0,Dry,Moderate,61,89,101.94,Foggy,30,0,Low,Seal Cracks,Low,Highways Dept,21,Repaired,2025-09-28
1222,SEG-3147,Pune,Maharashtra,26.02693,76.96289,City Road,2,Edge Crack,8,Dry,Moderate,83,62,138.68,Clear,12,1,Low,Seal Cracks,Low,Highways Dept,7,Not Repaired,2025-03-07
1223,SEG-4784,Warangal,Telangana,27.05636,75.55408,Highway,18,Transverse Crack,40,Hot,Heavy,96,20,24.71,Poor,23,0,Critical,Immediate Barricade,Urgent,Panchayat,31,Not Repaired,2025-08-16
1224,SEG-2936,Coimbatore,Tamil Nadu,24.12126,81.17727,Village Road,19,Longitudinal Crack,15,Dry,Moderate,30,50,105.96,Poor,26,1,High,Resurface Road,High,Panchayat,35,Not Repaired,2025-03-06
1225,SEG-1581,Chennai,Tamil Nadu,24.53771,80.53206,Village Road,23,Transverse Crack,1,Dry,Low,48,70,99.08,Foggy,17,14,High,Resurface Road,High,Panchayat,47,Not Repaired,2025-10-10
1226,SEG-2840,Bhopal,Madhya Pradesh,15.07624,80.04944,City Road,14,Longitudinal Crack,10,Rainy,Moderate,70,71,83.34,Clear,14,6,High,Resurface Road,High,Panchayat,69,Temporary Repair,2025-04-23
1227,SEG-2028,Indore,Madhya Pradesh,21.60794,87.10245,City Road,23,Longitudinal Crack,3,Hot,Heavy,35,84,27.24,Poor,2,10,High,Resurface Road,High,Panchayat,27,Repaired,2025-02-09
1228,SEG-6880,Udaipur,Rajasthan,10.69738,92.986,Highway,5,Longitudinal Crack,24,Humid,Heavy,59,60,75.87,Foggy,40,4,High,Resurface Road,High,Municipality,29,Not Repaired,2025-03-04
1229,SEG-8853,Noida,Uttar Pradesh,16.75618,73.66811,Highway,12,Alligator Crack,17,Rainy,Moderate,52,48,144.92,Poor,38,2,High,Resurface Road,High,Highways Dept,5,Not Repaired,2025-02-25
1230,SEG-1227,Delhi,Delhi,10.71578,96.22315,Village Road,11,Longitudinal Crack,14,Hot,Moderate,56,81,46.62,Foggy,11,0,Medium,Fill Pothole,Medium,Panchayat,49,Repaired,2025-10-21
1231,SEG-8120,Jaipur,Rajasthan,9.84323,85.65126,Village Road,22,Transverse Crack,3,Hot,Moderate,67,51,64.56,Foggy,28,7,High,Resurface Road,High,Panchayat,49,Not Repaired,2025-11-13
1232,SEG-4377,Bhopal,Madhya Pradesh,17.76587,88.25404,Village Road,15,Alligator Crack,21,Dry,Heavy,44,58,166.23,Poor,9,0,High,Resurface Road,High,Highways Dept,12,Repaired,2025-10-05
1233,SEG-6289,Indore,Madhya Pradesh,26.81455,83.14547,City Road,2,Transverse Crack,38,Dry,Moderate,72,87,93.36,Clear,43,5,High,Resurface Road,High,Municipality,10,Not Repaired,2025-03-15
1234,SEG-4605,Pune,Maharashtra,23.51705,89.21387,City Road,11,Edge Crack,17,Rainy,Heavy,32,76,158.27,Poor,43,3,High,Resurface Road,High,Municipality,4,Repaired,2025-12-01
1235,SEG-9681,Mumbai,Maharashtra,16.57695,95.60053,City Road,24,Longitudinal Crack,34,Humid,Moderate,70,42,175.41,Poor,24,3,Critical,Immediate Barricade,Urgent,Municipality,37,Not Repaired,2025-03-28
1236,SEG-9107,Delhi,Delhi,26.5641,96.05435,Village Road,24,Transverse Crack,40,Rainy,Moderate,59,64,65.79,Poor,3,8,Critical,Immediate Barricade,Urgent,Municipality,7,Temporary Repair,2025-02-04
1237,SEG-3447,Udaipur,Rajasthan,9.6305,85.15753,Village Road,16,Alligator Crack,25,Rainy,Low,35,51,32.21,Foggy,8,11,Critical,Immediate Barricade,Urgent,Municipality,39,Not Repaired,2025-09-12
1238,SEG-2408,Delhi,Delhi,15.2997,95.03558,Village Road,14,Transverse Crack,8,Hot,Moderate,82,73,182.32,Clear,51,7,Medium,Fill Pothole,Medium,Highways Dept,2,Temporary Repair,2025-04-12
1239,SEG-3185,Jaipur,Rajasthan,21.76856,90.31688,Village Road,2,Alligator Crack,24,Hot,Moderate,66,44,81.67,Foggy,22,11,High,Resurface Road,High,Panchayat,7,Repaired,2025-08-14
1240,SEG-7091,Indore,Madhya Pradesh,20.00743,75.99186,Village Road,1,Transverse Crack,25,Hot,Low,40,46,95.41,Clear,49,6,High,Resurface Road,High,Highways Dept,52,Repaired,2025-01-20
1241,SEG-4547,Noida,Uttar Pradesh,9.11339,79.83017,City Road,24,Transverse Crack,26,Dry,Moderate,31,84,194.96,Poor,56,2,Critical,Immediate Barricade,Urgent,Panchayat,28,Not Repaired,2025-11-25
1242,SEG-6641,Noida,Uttar Pradesh,20.7437,73.77615,Village Road,9,Edge Crack,14,Dry,Moderate,60,80,111.02,Clear,46,13,High,Resurface Road,High,Highways Dept,55,Repaired,2025-12-17
1243,SEG-7860,Chennai,Tamil Nadu,14.84383,69.15856,Highway,17,Transverse Crack,6,Rainy,Low,82,65,184.85,Foggy,11,14,High,Resurface Road,High,Highways Dept,37,Temporary Repair,2025-01-06
1244,SEG-2339,Indore,Madhya Pradesh,20.78642,80.69141,City Road,8,Alligator Crack,25,Hot,Heavy,52,37,136.97,Poor,12,14,High,Resurface Road,High,Municipality,61,Not Repaired,2025-02-03
1245,SEG-2949,Pune,Maharashtra,14.90072,86.82086,Highway,20,Alligator Crack,27,Humid,Heavy,34,61,84.21,Poor,40,6,Critical,Immediate Barricade,Urgent,Highways Dept,50,Temporary Repair,2025-02-01
1246,SEG-6018,Chennai,Tamil Nadu,17.33131,95.79746,City Road,14,Transverse Crack,7,Hot,Low,82,21,77.18,Poor,25,13,High,Resurface Road,High,Panchayat,31,Not Repaired,2025-09-04
1247,SEG-6923,Indore,Madhya Pradesh,10.50542,79.50051,Village Road,22,Transverse Crack,3,Humid,Heavy,55,46,8.69,Clear,23,14,High,Resurface Road,High,Panchayat,66,Temporary Repair,2025-03-26
1248,SEG-8322,Pune,Maharashtra,19.6105,92.20334,Highway,25,Transverse Crack,16,Rainy,Low,49,64,9.6,Poor,22,1,High,Resurface Road,High,Highways Dept,70,Repaired,2025-01-18
1249,SEG-2221,Coimbatore,Tamil Nadu,11.17515,70.28515,Highway,2,Alligator Crack,37,Hot,Heavy,92,21,39.72,Poor,25,12,Critical,Immediate Barricade,Urgent,Municipality,56,Repaired,2025-01-01
1250,SEG-2346,Bhopal,Madhya Pradesh,8.97938,96.18275,Highway,11,Transverse Crack,31,Dry,Heavy,33,26,195.6,Poor,18,2,High,Resurface Road,High,Municipality,39,Temporary Repair,2025-02-28
1251,SEG-2216,Kochi,Kerala,10.60771,94.76662,Highway,3,Transverse Crack,16,Hot,Moderate,95,73,185.4,Poor,25,5,Medium,Fill Pothole,Medium,Municipality,44,Not Repaired,2025-08-09
1252,SEG-6532,Bengaluru,Karnataka,25.55335,92.08178,City Road,11,Transverse Crack,10,Humid,Moderate,88,29,175.41,Poor,4,1,Medium,Fill Pothole,Medium,Highways Dept,23,Repaired,2025-05-24
1253,SEG-9676,Kochi,Kerala,24.76008,75.84115,Village Road,5,Edge Crack,27,Rainy,Moderate,50,34,0.69,Clear,17,3,High,Resurface Road,High,Municipality,40,Temporary Repair,2025-06-22
1254,SEG-4018,Madurai,Tamil Nadu,20.27055,91.41626,Highway,8,Edge Crack,25,Humid,Moderate,31,65,146.05,Poor,3,10,High,Resurface Road,High,Municipality,36,Repaired,2025-02-21
1255,SEG-5011,Udaipur,Rajasthan,17.10218,95.62729,City Road,20,Longitudinal Crack,31,Humid,Heavy,34,41,187.38,Foggy,23,13,Critical,Immediate Barricade,Urgent,Municipality,64,Repaired,2025-02-02
1256,SEG-2415,Nagpur,Maharashtra,27.9144,77.37928,Village Road,6,Transverse Crack,27,Humid,Low,96,43,110.53,Clear,1,14,High,Resurface Road,High,Highways Dept,71,Temporary Repair,2025-06-20
1257,SEG-1879,Madurai,Tamil Nadu,17.81244,94.99933,Highway,10,Alligator Crack,34,Dry,Low,40,53,179.13,Foggy,12,5,High,Resurface Road,High,Highways Dept,42,Repaired,2025-05-21
1258,SEG-3762,Chennai,Tamil Nadu,17.76467,74.15648,Village Road,4,Alligator Crack,10,Humid,Moderate,82,54,175.2,Poor,8,7,Medium,Fill Pothole,Medium,Panchayat,31,Not Repaired,2025-12-20
1259,SEG-6121,Mysuru,Karnataka,15.69711,75.50141,Highway,19,Longitudinal Crack,38,Rainy,Low,89,83,90.33,Clear,58,13,Critical,Immediate Barricade,Urgent,Panchayat,18,Repaired,2025-07-07
1260,SEG-4590,Indore,Madhya Pradesh,21.87018,83.76503,City Road,19,Transverse Crack,20,Rainy,Moderate,69,78,182.8,Poor,8,10,High,Resurface Road,High,Municipality,37,Temporary Repair,2025-04-16
1261,SEG-8108,Jaipur,Rajasthan,26.186,93.73564,City Road,23,Longitudinal Crack,32,Humid,Moderate,62,62,72.64,Clear,4,14,Critical,Immediate Barricade,Urgent,Municipality,34,Not Repaired,2025-09-07
1262,SEG-1283,Pune,Maharashtra,13.12503,96.02009,City Road,20,Edge Crack,40,Humid,Heavy,57,54,123.71,Foggy,39,10,Critical,Immediate Barricade,Urgent,Municipality,19,Repaired,2025-02-24
1263,SEG-6318,Nagpur,Maharashtra,12.14059,78.29125,Highway,11,Longitudinal Crack,15,Humid,Low,34,72,12.94,Poor,52,14,High,Resurface Road,High,Panchayat,58,Repaired,2025-04-18
1264,SEG-9720,Udaipur,Rajasthan,27.2658,95.13056,Highway,17,Alligator Crack,9,Hot,Moderate,42,66,180.93,Poor,31,13,High,Resurface Road,High,Panchayat,4,Repaired,2025-07-04
1265,SEG-9553,Ahmedabad,Gujarat,11.72666,91.96097,City Road,13,Transverse Crack,10,Rainy,Low,73,29,165.36,Clear,9,2,Medium,Fill Pothole,Medium,Municipality,32,Temporary Repair,2025-06-07
1266,SEG-1297,Jaipur,Rajasthan,16.00309,86.39719,Village Road,4,Alligator Crack,8,Dry,Heavy,94,25,66.83,Clear,7,4,Medium,Fill Pothole,Medium,Municipality,62,Not Repaired,2025-03-08
1267,SEG-2019,Mysuru,Karnataka,17.08888,79.52858,City Road,19,Longitudinal Crack,7,Rainy,Heavy,96,74,74.62,Foggy,2,2,Medium,Fill Pothole,Medium,Highways Dept,43,Temporary Repair,2025-02-05
1268,SEG-1796,Bhopal,Madhya Pradesh,16.31479,83.79933,Highway,1,Edge Crack,33,Humid,Heavy,49,60,197.62,Foggy,44,7,High,Resurface Road,High,Panchayat,26,Not Repaired,2025-08-02
1269,SEG-5135,Kochi,Kerala,10.14263,88.84333,Village Road,14,Edge Crack,40,Hot,Low,74,41,108.23,Foggy,37,10,Critical,Immediate Barricade,Urgent,Highways Dept,54,Not Repaired,2025-02-06
1270,SEG-8323,Hyderabad,Telangana,13.79354,82.3329,Village Road,13,Edge Crack,26,Hot,Heavy,45,20,185.22,Poor,37,3,High,Resurface Road,High,Municipality,14,Repaired,2025-12-03
1271,SEG-7236,Ahmedabad,Gujarat,25.70445,85.25998,City Road,1,Edge Crack,4,Hot,Low,31,46,142.16,Poor,3,4,Low,Seal Cracks,Low,Municipality,14,Temporary Repair,2025-09-22
1272,SEG-1517,Indore,Madhya Pradesh,16.91066,80.11079,City Road,10,Edge Crack,40,Humid,Low,51,40,101.08,Clear,19,2,Critical,Immediate Barricade,Urgent,Municipality,30,Not Repaired,2025-06-14
1273,SEG-2491,Surat,Gujarat,9.76936,89.16581,Highway,12,Alligator Crack,2,Rainy,Heavy,37,65,78.57,Foggy,17,10,Medium,Fill Pothole,Medium,Panchayat,62,Not Repaired,2025-03-23
1274,SEG-8397,Noida,Uttar Pradesh,26.30567,77.45638,City Road,12,Longitudinal Crack,4,Dry,Low,53,43,169.32,Clear,37,9,Medium,Fill Pothole,Medium,Panchayat,14,Temporary Repair,2025-02-09
1275,SEG-3519,Nagpur,Maharashtra,26.95522,70.73733,Village Road,11,Edge Crack,10,Hot,Low,38,72,26.03,Foggy,4,13,High,Resurface Road,High,Highways Dept,51,Not Repaired,2025-07-25
1276,SEG-8582,Udaipur,Rajasthan,25.61927,84.6709,City Road,19,Transverse Crack,29,Humid,Moderate,59,50,14.73,Foggy,57,1,High,Resurface Road,High,Municipality,21,Temporary Repair,2025-12-24
1277,SEG-3392,Mumbai,Maharashtra,20.59677,86.53021,Highway,11,Longitudinal Crack,38,Dry,Heavy,39,30,183.16,Foggy,34,1,Critical,Immediate Barricade,Urgent,Municipality,50,Not Repaired,2025-05-07
1278,SEG-1934,Noida,Uttar Pradesh,25.41858,73.13899,Village Road,0,Longitudinal Crack,29,Dry,Low,40,76,179.02,Poor,4,10,High,Resurface Road,High,Municipality,24,Temporary Repair,2025-02-09
1279,SEG-2271,Hyderabad,Telangana,11.64931,85.10251,City Road,17,Alligator Crack,23,Humid,Moderate,46,69,67.58,Clear,40,9,High,Resurface Road,High,Municipality,56,Not Repaired,2025-07-26
1280,SEG-3797,Surat,Gujarat,22.61293,90.26887,Village Road,20,Transverse Crack,27,Rainy,Heavy,83,51,182.48,Foggy,46,3,Critical,Immediate Barricade,Urgent,Panchayat,28,Repaired,2025-10-11
1281,SEG-2178,Bengaluru,Karnataka,18.87936,73.10298,Highway,15,Edge Crack,18,Hot,Moderate,34,53,94.45,Clear,32,4,High,Resurface Road,High,Highways Dept,31,Temporary Repair,2025-02-21
1282,SEG-9362,Jaipur,Rajasthan,15.09759,82.8427,Village Road,20,Edge Crack,9,Rainy,Low,60,65,21.43,Poor,9,2,High,Resurface Road,High,Municipality,71,Not Repaired,2025-07-10
1283,SEG-5765,Noida,Uttar Pradesh,12.58781,69.83398,City Road,18,Transverse Crack,20,Hot,Low,99,20,32.87,Clear,34,1,High,Resurface Road,High,Panchayat,48,Temporary Repair,2025-11-15
1284,SEG-2148,Bengaluru,Karnataka,18.71507,68.67165,Highway,13,Longitudinal Crack,31,Humid,Moderate,56,60,194.11,Foggy,48,2,High,Resurface Road,High,Highways Dept,53,Temporary Repair,2025-03-11
1285,SEG-2092,Jaipur,Rajasthan,23.53444,70.94582,Highway,11,Edge Crack,28,Dry,Moderate,64,30,107.43,Foggy,34,7,High,Resurface Road,High,Municipality,38,Temporary Repair,2025-08-04
1286,SEG-1198,Bhopal,Madhya Pradesh,26.42634,92.76851,Village Road,23,Edge Crack,18,Dry,Heavy,73,41,137.77,Foggy,8,5,High,Resurface Road,High,Panchayat,2,Repaired,2025-05-17
1287,SEG-4535,Indore,Madhya Pradesh,12.08766,95.35387,City Road,5,Alligator Crack,23,Rainy,Moderate,79,41,127.44,Foggy,35,13,High,Resurface Road,High,Municipality,46,Repaired,2025-07-15
1288,SEG-2608,Warangal,Telangana,22.68273,94.95158,Highway,3,Transverse Crack,32,Hot,Low,84,72,138.79,Clear,26,0,High,Resurface Road,High,Highways Dept,19,Repaired,2025-02-05
1289,SEG-6423,Thiruvananthapuram,Kerala,15.96181,88.74728,Highway,0,Transverse Crack,38,Hot,Moderate,86,23,115.35,Poor,35,13,Critical,Immediate Barricade,Urgent,Panchayat,57,Repaired,2025-06-19
1290,SEG-3971,Bengaluru,Karnataka,24.96348,91.44746,Highway,21,Longitudinal Crack,26,Dry,Low,86,43,143.18,Clear,25,2,High,Resurface Road,High,Municipality,6,Repaired,2025-11-26
1291,SEG-8004,Delhi,Delhi,8.19804,87.61311,Village Road,21,Edge Crack,10,Dry,Moderate,63,34,91.25,Clear,36,9,High,Resurface Road,High,Panchayat,19,Not Repaired,2025-04-20
1292,SEG-9350,Thiruvananthapuram,Kerala,24.314,82.0473,City Road,12,Edge Crack,10,Rainy,Heavy,33,58,159.42,Foggy,29,7,Medium,Fill Pothole,Medium,Municipality,72,Repaired,2025-07-18
1293,SEG-5420,Thiruvananthapuram,Kerala,17.02041,81.2639,City Road,20,Longitudinal Crack,39,Humid,Heavy,44,24,177.73,Clear,12,9,Critical,Immediate Barricade,Urgent,Municipality,28,Not Repaired,2025-05-09
1294,SEG-7017,Delhi,Delhi,27.60015,71.54142,City Road,11,Transverse Crack,5,Humid,Moderate,42,71,91.56,Poor,27,1,Medium,Fill Pothole,Medium,Panchayat,13,Repaired,2025-10-21
1295,SEG-5547,Ahmedabad,Gujarat,13.80073,94.53139,Highway,8,Longitudinal Crack,24,Dry,Moderate,90,53,143.25,Foggy,11,2,High,Resurface Road,High,Highways Dept,5,Not Repaired,2025-06-07
1296,SEG-9984,Surat,Gujarat,14.88507,84.59101,Highway,8,Transverse Crack,23,Hot,Low,54,35,4.57,Clear,39,10,High,Resurface Road,High,Highways Dept,48,Temporary Repair,2025-05-28
1297,SEG-9345,Noida,Uttar Pradesh,20.15478,87.09807,City Road,13,Alligator Crack,34,Hot,Moderate,87,40,38.24,Foggy,29,6,Critical,Immediate Barricade,Urgent,Panchayat,5,Repaired,2025-10-17
1298,SEG-7934,Ahmedabad,Gujarat,11.6999,93.90639,City Road,3,Transverse Crack,22,Dry,Low,74,75,147.43,Foggy,22,9,High,Resurface Road,High,Highways Dept,2,Temporary Repair,2025-09-16
1299,SEG-1944,Ahmedabad,Gujarat,23.76746,93.95083,City Road,0,Edge Crack,21,Rainy,Low,73,26,121.46,Clear,27,2,Medium,Fill Pothole,Medium,Highways Dept,10,Not Repaired,2025-04-14
1300,SEG-3753,Mumbai,Maharashtra,17.28441,85.68065,Highway,19,Transverse Crack,33,Hot,Low,73,79,36.68,Poor,58,8,Critical,Immediate Barricade,Urgent,Municipality,20,Not Repaired,2025-12-24
1301,SEG-8075,Thiruvananthapuram,Kerala,20.91642,75.8192,City Road,11,Transverse Crack,24,Dry,Heavy,77,75,48.08,Poor,45,0,High,Resurface Road,High,Municipality,42,Not Repaired,2025-04-28
1302,SEG-3830,Warangal,Telangana,24.6065,90.65094,Village Road,20,Longitudinal Crack,4,Dry,Moderate,54,51,116.07,Poor,57,5,Medium,Fill Pothole,Medium,Panchayat,59,Repaired,2025-03-11
1303,SEG-7028,Hyderabad,Telangana,27.78175,96.83016,City Road,13,Longitudinal Crack,0,Humid,Moderate,89,44,169.27,Clear,22,6,Medium,Fill Pothole,Medium,Highways Dept,20,Repaired,2025-09-09
1304,SEG-7317,Madurai,Tamil Nadu,16.44923,69.47067,City Road,1,Transverse Crack,19,Rainy,Heavy,34,33,41.96,Foggy,14,7,Medium,Fill Pothole,Medium,Panchayat,50,Temporary Repair,2025-03-12
1305,SEG-7024,Jaipur,Rajasthan,21.58093,75.41569,City Road,17,Transverse Crack,4,Dry,Moderate,52,48,55.14,Clear,39,8,Medium,Fill Pothole,Medium,Panchayat,61,Repaired,2025-08-15
1306,SEG-9217,Udaipur,Rajasthan,13.09904,91.56422,Highway,6,Transverse Crack,35,Humid,Low,36,81,57.81,Foggy,26,9,Critical,Immediate Barricade,Urgent,Highways Dept,11,Temporary Repair,2025-02-27
1307,SEG-3840,Udaipur,Rajasthan,17.84861,76.08653,Highway,17,Edge Crack,6,Humid,Moderate,98,87,88.25,Clear,31,14,High,Resurface Road,High,Highways Dept,59,Repaired,2025-06-19
1308,SEG-5631,Ahmedabad,Gujarat,10.4846,83.44941,Village Road,5,Edge Crack,9,Humid,Heavy,99,48,194.37,Foggy,42,13,Medium,Fill Pothole,Medium,Panchayat,43,Repaired,2025-07-07
1309,SEG-1729,Bhopal,Madhya Pradesh,13.28577,70.12684,Village Road,16,Alligator Crack,25,Rainy,Low,45,50,164.18,Poor,52,7,High,Resurface Road,High,Highways Dept,7,Repaired,2025-04-20
1310,SEG-7758,Madurai,Tamil Nadu,8.03455,90.03866,Highway,2,Alligator Crack,17,Humid,Moderate,44,64,90.35,Foggy,14,14,High,Resurface Road,High,Panchayat,37,Temporary Repair,2025-12-16
1311,SEG-2361,Thiruvananthapuram,Kerala,18.97968,75.23229,Highway,17,Alligator Crack,40,Hot,Heavy,37,85,39.34,Poor,51,0,Critical,Immediate Barricade,Urgent,Municipality,1,Repaired,2025-02-16
1312,SEG-6936,Pune,Maharashtra,14.90533,76.0989,City Road,11,Longitudinal Crack,22,Rainy,Heavy,42,82,59.72,Poor,14,6,High,Resurface Road,High,Highways Dept,63,Not Repaired,2025-04-02
